adt,ugos,vgos,sla,ugosa,vgosa,radius,radius_glob
0.9156,0.0869,0.5434,0.2135,0.0848,0.3857,0.6303,0.4705
0.5916,-1.5915,-4.4847,0.0363,-2.6064000000000003,-4.2096,6.0762,6.816000000000001
0.6415000000000001,0.1791,0.9166,-0.058,0.1715,0.8187000000000001,1.0957,0.9902
0.2529,-0.2504,0.6312,0.0683,0.0773,-0.3399,0.8815999999999999,0.4171999999999999
0.5572,0.1835,-0.4709,0.024,0.1943,-0.6504,0.6544,0.8447
0.7375,-0.1967,-0.7073,0.0353,-0.1991,-0.8976000000000001,0.904,1.0967
0.1165,0.0513,0.5606,-0.1107,0.0061,0.5261,0.6119,0.5322
0.4254,2.0061,4.3209,-0.1402,1.0974000000000002,4.7289,6.327,5.826300000000001
0.4639,0.8014,4.7972,-0.0413,0.1201,4.8386000000000005,5.5986,4.9587
0.3127,-0.5508000000000001,-0.5198,-0.0051,-0.5321,-0.8067000000000001,1.0706000000000002,1.3388
0.7381000000000001,0.3805,0.2915,0.0359,0.3783,0.1338,0.6719999999999999,0.5121
-0.3346,-0.033,0.8955000000000001,-0.2494,-0.0177,0.8451000000000001,0.9285,0.8628000000000001
0.6764,0.2174,0.4388,-0.0247,0.215,0.3121,0.6562,0.5271
-0.1663,0.0712,0.8381000000000001,-0.0714,0.0764,0.7955,0.9093,0.8719
0.7327,1.1643,4.661700000000001,0.2275,0.483,4.703,5.8260000000000005,5.186
0.7706000000000001,-0.0459,0.5646,0.0712,-0.0535,0.4666,0.6105,0.5201
1.2083000000000002,-0.2982,0.4418,0.2008,-0.2774,0.3953,0.74,0.6727
-0.0833,-0.3856,0.2392,-0.0145,-0.1983,0.2927,0.6248,0.491
0.662,0.0843,0.5877,-0.0375,0.0767,0.4898,0.672,0.5665
0.4237,-0.0089,4.2501,-0.0865,-0.5015000000000001,4.7649,4.259,5.2664
0.8360000000000001,0.2487,0.7694000000000001,0.1339,0.2463,0.5791000000000001,1.0181,0.8254
0.8167000000000001,0.3545,1.0971,0.1173,0.3469,0.9991,1.4516,1.346
0.5283,-3.8088,-1.7733,-0.1437,-4.3663,-1.605,5.5821000000000005,5.971299999999999
0.4023,0.1497,0.4899,0.2682,0.3717,0.3004,0.6396,0.6720999999999999
0.7035,-0.2015,0.6094,0.0014,-0.204,0.419,0.8109000000000001,0.623
0.5923,-3.2943,-2.0794,0.0032,-4.4146,-1.7704000000000002,5.3737,6.1850000000000005
0.905,0.2562,4.1383,0.292,-0.7563000000000001,4.4628000000000005,4.3945,5.219100000000001
0.6973,-0.0148,-4.8632,0.1921,-0.6961,-4.8219,4.878,5.518000000000001
0.5783,1.5447000000000002,3.7749,0.023,0.5298,4.05,5.3196,4.5798
0.6378,-0.8121,0.1129,0.1045,-0.8013,-0.0666,0.925,0.8679
0.6658000000000001,-0.206,-1.244,-0.0343,-0.2473,-1.3336,1.45,1.5809
0.6919000000000001,-2.1096,3.5478,0.1542,-2.6858,3.8415,5.6574,6.5273
0.5451,2.8487,3.8505,-0.0803,1.8272,4.1597,6.699199999999999,5.9869
0.6554,0.2384,1.1732,-0.0467,0.2359,0.9829,1.4116,1.2188
0.2018,-2.0486,3.6839,-0.307,-2.7643,3.8547,5.7325,6.619
0.747,-1.0356,3.8406,0.2151,-1.3358,4.2442,4.8762,5.58
0.2331,0.064,-4.4141,-0.3154,-0.9653,-4.2523,4.4781,5.2176
0.0648,0.4298,-0.2914,-0.1605,0.5237,-0.3004,0.7212000000000001,0.8241
0.6836,2.3325,4.4052,0.0705,1.32,4.7298,6.7377,6.0498
0.4194,-2.5966,-3.6288,-0.119,-3.3991,-3.2652,6.2254000000000005,6.6643
0.2417,-3.402,-0.2365,-0.2343,-3.7634,0.051,3.6385,3.8144
